Year,LocationAbbr,LocationDesc,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Number,WeightedNumber,Low_Confidence_Limit,High_Confidence_Limit,StratificationCategory1,Stratification1
2019,HHS8,HHS Region 8,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.7,4330,549615,5.5,6,Overall,Overall
2019,SD,South Dakota,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.6,335,25682,2.9,4.6,Overall,Overall
2016,AK,Alaska,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,4.3,145,23447,3.4,5.4,Overall,Overall
2016,AZ,Arizona,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,75.1,7026,3722955,73.7,76.5,Overall,Overall
2016,AL,Alabama,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,6.5,480,244628,5.6,7.4,Overall,Overall
2016,CT,Connecticut,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.7,343,81085,2.3,3.1,Overall,Overall
2016,CA,California,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.3,403,993955,2.9,3.8,Overall,Overall
2016,AL,Alabama,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,9.5,754,364956,8.6,10.5,Overall,Overall
2016,DE,Delaware,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,11.8,672,97475,10.7,13.1,Overall,Overall
2016,AZ,Arizona,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.2,474,172812,2.7,3.8,Overall,Overall
2016,CO,Colorado,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,4.9,734,196079,4.4,5.4,Overall,Overall
2016,AR,Arkansas,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,18,1348,438913,16.3,19.8,Overall,Overall
2016,DE,Delaware,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,76.2,2760,539596,74.3,78,Overall,Overall
2016,AZ,Arizona,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.3,814,330421,5.5,7.1,Overall,Overall
2016,CT,Connecticut,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.3,749,138413,3.9,4.8,Overall,Overall
2016,CO,Colorado,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.3,863,177299,3.9,4.7,Overall,Overall
2016,AL,Alabama,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,68.2,4236,2421930,66.7,69.7,Overall,Overall
2016,AZ,Arizona,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.7,1156,387084,6.1,7.4,Overall,Overall
2016,AL,Alabama,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,31.8,2534,1218125,30.3,33.3,Overall,Overall
2016,CA,California,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.8,678,1682258,5.2,6.4,Overall,Overall
2016,AK,Alaska,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.6,209,28854,4.5,6.9,Overall,Overall
2016,DE,Delaware,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.7,316,47838,4.9,6.6,Overall,Overall
2016,CO,Colorado,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.4,408,98346,2.1,2.7,Overall,Overall
2016,DE,Delaware,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,9.9,398,71326,8.5,11.4,Overall,Overall
2016,AK,Alaska,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.5,88,13702,1.9,3.4,Overall,Overall
2016,CT,Connecticut,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.1,416,117919,3.5,4.7,Overall,Overall
2016,DE,Delaware,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.8,144,21741,2.2,3.5,Overall,Overall
2016,AR,Arkansas,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,8.2,633,202667,7,9.4,Overall,Overall
2016,CO,Colorado,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,8.2,1656,340006,7.7,8.7,Overall,Overall
2016,CT,Connecticut,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,9.5,1452,296188,8.8,10.2,Overall,Overall
2016,AK,Alaska,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,19.2,651,100857,17,21.5,Overall,Overall
2016,AR,Arkansas,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,10.6,587,244004,9.1,12.3,Overall,Overall
2016,AL,Alabama,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,14.3,979,523704,13.1,15.5,Overall,Overall
2016,CA,California,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,9.5,1061,2718561,8.8,10.2,Overall,Overall
2016,CA,California,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,11.2,1425,3358303,10.5,12,Overall,Overall
2016,CO,Colorado,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,2.8,473,114465,2.5,3.2,Overall,Overall
2016,CO,Colorado,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,81.3,10524,3161157,80.5,82.2,Overall,Overall
2016,AR,Arkansas,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,15.4,666,342276,13.5,17.5,Overall,Overall
2016,AZ,Arizona,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.4,603,239328,3.8,5.1,Overall,Overall
2016,CT,Connecticut,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,9,753,240758,8.1,10,Overall,Overall
2016,CA,California,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,77.7,8048,21821005,76.7,78.7,Overall,Overall
2016,AL,Alabama,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,18.2,1632,729861,17.1,19.4,Overall,Overall
2016,AK,Alaska,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.2,116,17526,2.5,4.2,Overall,Overall
2016,CT,Connecticut,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5,603,144887,4.4,5.6,Overall,Overall
2016,DE,Delaware,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.9,267,44948,4.9,7.2,Overall,Overall
2016,CT,Connecticut,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,79.1,8072,2121468,77.9,80.2,Overall,Overall
2016,AL,Alabama,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.5,587,265738,5.8,7.2,Overall,Overall
2016,AK,Alaska,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,7.6,210,40903,6.2,9.4,Overall,Overall
2016,AR,Arkansas,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,5.8,350,136050,4.7,7,Overall,Overall
2016,AR,Arkansas,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,6.5,416,155205,5.5,7.8,Overall,Overall
2016,DE,Delaware,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,23.8,1169,185501,22,25.7,Overall,Overall
2016,CT,Connecticut,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,20.9,2574,605684,19.8,22.1,Overall,Overall
2016,AK,Alaska,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,80.8,2165,435598,78.5,83,Overall,Overall
2016,AZ,Arizona,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.3,2051,689468,11.4,13.4,Overall,Overall
2016,CA,California,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.2,502,1236853,3.7,4.7,Overall,Overall
2016,AK,Alaska,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,8.8,345,46460,7.4,10.4,Overall,Overall
2016,CO,Colorado,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,18.7,3062,742860,17.8,19.5,Overall,Overall
2016,CA,California,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.5,604,1335697,4,5,Overall,Overall
2016,AL,Alabama,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,5.1,403,195136,4.4,5.8,Overall,Overall
2016,AR,Arkansas,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,33.1,2059,767548,30.7,35.6,Overall,Overall
2016,CO,Colorado,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,7.9,982,308218,7.2,8.6,Overall,Overall
2016,CA,California,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,22.3,2630,6479729,21.3,23.3,Overall,Overall
2016,AZ,Arizona,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10.6,1037,541038,9.5,11.7,Overall,Overall
2016,AR,Arkansas,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,66.9,3039,1441461,64.4,69.3,Overall,Overall
2016,DE,Delaware,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.4,208,33995,3.6,5.3,Overall,Overall
2016,AZ,Arizona,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24.9,3472,1335910,23.5,26.3,Overall,Overall
2016,DC,District of Columbia,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,76.9,2743,427043,75.3,78.6,Overall,Overall
2016,GA,Georgia,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,73.7,3492,5487099,72,75.2,Overall,Overall
2016,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.1,2770,1307881,4.7,5.4,Overall,Overall
2016,FL,Florida,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.4,2539,921453,4.9,5.9,Overall,Overall
2016,HI,Hawaii,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.5,228,28250,2,3.1,Overall,Overall
2016,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.8,966,306938,2.6,3.1,Overall,Overall
2016,FL,Florida,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.7,3369,1282103,7.1,8.3,Overall,Overall
2016,GA,Georgia,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.6,258,290918,3.1,4.3,Overall,Overall
2016,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10,4055,1108848,9.5,10.6,Overall,Overall
2016,GU,Guam,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24.1,365,23380,21.3,27.3,Overall,Overall
2016,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.6,266,29342,4.8,6.6,Overall,Overall
2016,GU,Guam,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.7,44,3898,2.5,5.4,Overall,Overall
2016,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.8,1739,608627,5.4,6.1,Overall,Overall
2016,GA,Georgia,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5,327,393895,4.3,5.8,Overall,Overall
2016,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10.5,2542,1075732,10,11.1,Overall,Overall
2016,GA,Georgia,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5,403,398499,4.4,5.7,Overall,Overall
